produit,categorie,annee,prix_mad_par_kg,prix_usd_par_kg,produit_faostat,code_produit_cpc,drapeau_qualite,source,source_url
Pommes,Fruits,2004,6.48,0.731,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2005,5.2,0.587,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2006,6.84,0.778,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2007,6.41,0.782,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2008,7.55,0.974,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2009,8.53,1.059,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2010,8.83,1.049,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2011,7.82,0.967,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2012,8.01,0.928,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2013,8.5,1.011,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2014,7.2,0.856,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2015,7.3,0.748,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2016,8.16,0.832,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2017,4.53,0.467,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2018,3.78,0.403,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2019,4.2,0.437,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2020,3.75,0.394,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2021,3.99,0.444,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2022,4.57,0.449,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes,Fruits,2023,5.2,0.513,Apples,'01341,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2007,1.95,0.238,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2008,2.36,0.304,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2009,2.49,0.309,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2010,2.68,0.318,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2011,2.18,0.27,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2012,2.48,0.287,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2013,2.25,0.268,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2014,2.29,0.272,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2015,2.78,0.285,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2016,2.48,0.253,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2017,1.27,0.131,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2018,1.57,0.167,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2019,1.75,0.182,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2020,1.8,0.19,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2021,1.5,0.167,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2022,2.19,0.215,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2023,2.83,0.279,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Carottes,Légumes,2024,3.19,0.32,Carrots and turnips,'01251,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2000,1.53,0.144,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2001,1.12,0.099,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2002,1.3,0.118,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2003,1.76,0.184,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2004,1.24,0.14,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2005,1.33,0.15,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2006,1.29,0.147,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2007,1.46,0.178,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2008,1.46,0.188,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2009,3.5,0.434,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2010,3.72,0.442,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2011,3.09,0.382,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2012,2.18,0.253,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2013,2.8,0.333,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2014,2.87,0.341,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2015,2.4,0.246,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2016,4.55,0.464,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2017,3.4,0.351,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2018,1.37,0.146,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2020,2.4,0.253,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2021,1.5,0.167,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2022,1.89,0.186,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2023,3.25,0.321,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Oignons,Légumes,2024,2.84,0.286,"Onions and shallots, dry (excluding dehydrated)",'01253.02,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2007,3.09,0.377,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2008,3.58,0.462,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2009,3.5,0.434,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2010,3.9,0.463,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2011,3.56,0.44,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2012,3.84,0.445,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2013,3.5,0.416,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2014,3.35,0.398,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2015,3.45,0.353,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2016,3.83,0.39,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2017,2.07,0.214,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2018,2.77,0.295,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2019,2.39,0.248,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2020,2.4,0.253,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2021,2.48,0.276,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2022,4.44,0.437,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2023,5.09,0.502,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Poivrons,Légumes,2024,4.79,0.482,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",'01231,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2000,2.0,0.188,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2001,1.98,0.175,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2002,1.69,0.153,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2003,1.96,0.205,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2004,1.89,0.213,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2005,1.93,0.218,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2006,2.34,0.266,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2007,2.47,0.302,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2008,2.09,0.27,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2009,2.01,0.25,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2010,2.96,0.352,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2011,2.42,0.299,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2012,2.22,0.257,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2013,2.38,0.283,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2014,1.78,0.212,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2015,1.97,0.202,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2016,2.0,0.204,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2017,1.84,0.19,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2018,2.15,0.229,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2019,2.08,0.217,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2020,2.1,0.221,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2021,2.27,0.252,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2022,2.72,0.268,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2023,3.23,0.319,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Pommes de terre,Légumes,2024,3.86,0.388,Potatoes,'01510,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2000,1.7,0.16,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2001,1.52,0.134,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2002,1.66,0.151,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2003,2.0,0.209,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2004,1.46,0.165,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2005,1.77,0.2,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2006,1.45,0.165,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2007,1.84,0.225,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2008,2.04,0.263,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2009,2.31,0.287,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2010,2.01,0.239,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2011,2.11,0.261,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2012,2.41,0.279,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2013,2.31,0.275,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2014,2.28,0.271,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2015,1.68,0.172,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2016,1.95,0.199,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2017,2.03,0.21,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2018,2.04,0.217,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2019,2.31,0.24,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2020,2.4,0.253,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2021,2.25,0.25,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2022,3.73,0.368,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2023,2.6,0.257,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Tomates,Légumes,2024,2.05,0.206,Tomatoes,'01234,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2000,9.59,0.902,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2001,9.53,0.843,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2002,8.41,0.763,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2003,7.08,0.74,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2004,6.14,0.692,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2005,7.98,0.9,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2006,9.05,1.029,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2007,9.0,1.099,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2008,8.99,1.16,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2009,7.67,0.952,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2010,9.29,1.104,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2011,9.95,1.23,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2012,7.74,0.897,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2013,12.01,1.429,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2014,13.05,1.552,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2015,11.82,1.21,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2016,11.76,1.199,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2017,12.83,1.324,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2018,10.46,1.114,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2019,8.22,0.855,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2020,9.24,0.973,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2021,10.3,1.146,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2022,12.05,1.186,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2023,14.12,1.394,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Haricots secs,Légumineuses,2024,14.23,1.431,"Beans, dry",'01701,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2000,8.32,0.783,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2001,5.65,0.5,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2002,4.1,0.372,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2003,3.78,0.395,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2004,4.31,0.486,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2005,6.32,0.713,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2006,4.27,0.486,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2007,5.89,0.719,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2008,8.83,1.139,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2009,7.29,0.905,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2010,6.52,0.775,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2011,7.53,0.931,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2012,7.9,0.916,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
Lentilles,Légumineuses,2013,7.29,0.867,"Lentils, dry",'01704,A,FAOSTAT - Producer Prices (Maroc),https://www.fao.org/faostat/fr/#data/PP
