product_id,produit,categorie,unite,url,prix
pain-de-mie-multigraines-440g-bimbo,PAIN DE MIE MULTIGRAINES 440G  BIMBO,boulangerie,440g,https://aswakassalam.com/produit/pain-de-mie-multigraines-440g-bimbo/,21.95
pain-de-mie-nature-400g-bimbo,PAIN DE MIE NATURE 400G BIMBO,boulangerie,400g,https://aswakassalam.com/produit/pain-de-mie-nature-400g-bimbo/,19.95
pain-de-mie-nature-470g-pain-dor,PAIN DE MIE NATURE 470G PAIN D’OR,boulangerie,470g,https://aswakassalam.com/produit/pain-de-mie-nature-470g-pain-dor/,15.95
pain-de-mie-nature-550g-maxi-jac-jacquet,PAIN DE MIE NATURE 550G MAXI JAC’ JACQUET,boulangerie,550g,https://aswakassalam.com/produit/pain-de-mie-nature-550g-maxi-jac-jacquet/,34.9
pain-de-mie-nature-720g-bimbo,PAIN DE MIE NATURE 720G BIMBO,boulangerie,720g,https://aswakassalam.com/produit/pain-de-mie-nature-720g-bimbo/,30.95
pain-hot-dog-4-unites-jacquet,PAIN HOT DOG 4 UNITES JACQUET,boulangerie,,https://aswakassalam.com/produit/pain-hot-dog-4-unites-jacquet/,31.9
ananas-la-piece-1kg-a-1200kg,"ANANAS LA PIECE (1KG A 1,200KG)",fruits-legumes,1kg,https://aswakassalam.com/produit/ananas-la-piece-1kg-a-1200kg/,32.0
avocat-1kg,AVOCAT 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/avocat-1kg/,62.95
banane-import-1kg,BANANE IMPORT 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/banane-import-1kg/,19.95
brocoli-1kg,BROCOLI 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/brocoli-1kg/,29.95
celeri-botte,CELERI BOTTE,fruits-legumes,,https://aswakassalam.com/produit/celeri-botte/,15.95
champignon-de-paris-500g,CHAMPIGNON DE PARIS 500G,fruits-legumes,500g,https://aswakassalam.com/produit/champignon-de-paris-500g/,34.95
chou-de-bruxelles-500g,CHOU DE BRUXELLES 500G,fruits-legumes,500g,https://aswakassalam.com/produit/chou-de-bruxelles-500g/,17.95
citron-1kg,CITRON 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/citron-1kg/,19.95
courgette-ronde-1kg,COURGETTE RONDE 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/courgette-ronde-1kg/,16.95
couscous-barquette-2kg,COUSCOUS BARQUETTE  +/- 2KG,fruits-legumes,2kg,https://aswakassalam.com/produit/couscous-barquette-2kg/,22.95
fraise-barquette-250,FRAISE BARQUETTE 250,fruits-legumes,,https://aswakassalam.com/produit/fraise-barquette-250/,12.95
framboise-barquette-125g,FRAMBOISE BARQUETTE 125G,fruits-legumes,125g,https://aswakassalam.com/produit/framboise-barquette-125g/,24.95
haricot-vert-1kg,HARICOT VERT 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/haricot-vert-1kg/,19.95
kiwi-1kg,KIWI 1KG,fruits-legumes,1kg,https://aswakassalam.com/produit/kiwi-1kg/,49.95
laitue-rouge-a-la-piece,LAITUE ROUGE A LA PIECE,fruits-legumes,,https://aswakassalam.com/produit/laitue-rouge-a-la-piece/,6.5
mangue-a-la-piece-450g-a-500g,MANGUE A LA PIECE  (450G A 500G),fruits-legumes,450g,https://aswakassalam.com/produit/mangue-a-la-piece-450g-a-500g/,16.95
