product_id,price,currency,in_stock,scraped_at,source_site,source_url
baguette-nature,3.5,MAD,1,2026-02-15 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260215013514/https://aswakassalam.com/produit/baguette-a-lancienne-nature-as/
cafe-java-2x200g,68.95,MAD,1,2026-03-08 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260308050035/https://aswakassalam.com/produit/lot-de-2-cafes-moulus-java-timor-200g-dubois/
miel-850g,44.95,MAD,1,2026-03-16 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260316084615/https://aswakassalam.com/produit/miel-toutes-fleurs-850g-jnane-el-aassal/
the-vert-sultan,36.95,MAD,1,2026-03-16 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260316093723/https://aswakassalam.com/produit/lot-de-2-thes-verts-4011-en-filaments-200g-sultan/
huile-olive-1l,54.95,MAD,1,2026-04-14 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260414022650/https://aswakassalam.com/produit/huile-dolive-vierge-1l-campo-sur/
cuisse-poulet-1kg,43.9,MAD,1,2026-04-16 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260416050948/https://aswakassalam.com/produit/cuisse-de-poulet-1kg/
carotte-1kg,9.95,MAD,1,2026-04-18 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260418035242/https://aswakassalam.com/produit/carotte-1kg/
mais-340g,12.5,MAD,1,2026-04-21 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260421202030/https://aswakassalam.com/produit/boite-de-mais-340g-janis/
thon-lot3-80g,24.5,MAD,1,2026-04-21 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260421193520/https://aswakassalam.com/produit/lot-de-3-boites-de-thon-80g-janis/
citron-1kg,9.95,MAD,1,2026-05-13 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260513002033/https://aswakassalam.com/produit/citron-1kg/
banane-import-1kg,18.95,MAD,1,2026-05-16 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260516233751/https://aswakassalam.com/produit/banane-import-1kg/
lentilles-1kg,12.95,MAD,1,2026-06-12 00:00:00.000000,aswak-wayback,http://web.archive.org/web/20260612022616/https://aswakassalam.com/produit/lentilles-1kg-janis-2/
farine-fleur-10kg,55.95,MAD,1,2026-09-04 02:21:03.129606,aswak,https://aswakassalam.com/produit/farine-fleur-10kg-kenz/
baguette-nature,3.5,MAD,1,2026-09-04 02:21:05.452381,aswak,https://aswakassalam.com/produit/baguette-a-lancienne-nature-as/
couscous-2kg,22.95,MAD,1,2026-09-04 02:21:07.768811,aswak,https://aswakassalam.com/produit/couscous-barquette-2kg/
huile-olive-1l,54.95,MAD,1,2026-09-04 02:21:10.145644,aswak,https://aswakassalam.com/produit/huile-dolive-vierge-1l-campo-sur/
beurre-1kg-centrale,83.95,MAD,1,2026-09-04 02:21:12.484866,aswak,https://aswakassalam.com/produit/beurre-1-kg-centrale/
raibi-jamila-16,32.95,MAD,1,2026-09-04 02:21:14.835789,aswak,https://aswakassalam.com/produit/pack-de-16-pots-raibi-jamila-165g-danone/
cuisse-poulet-1kg,39.9,MAD,1,2026-09-04 02:21:17.162193,aswak,https://aswakassalam.com/produit/cuisse-de-poulet-1kg/
filet-poulet-1kg,59.9,MAD,1,2026-09-04 02:21:19.557380,aswak,https://aswakassalam.com/produit/filet-de-poulet-1kg/
entrecote-boeuf-1kg,149.95,MAD,1,2026-09-04 02:21:21.886503,aswak,https://aswakassalam.com/produit/entrecote-de-boeuf-1kg/
thon-lot3-80g,24.5,MAD,1,2026-09-04 02:21:24.206130,aswak,https://aswakassalam.com/produit/lot-de-3-boites-de-thon-80g-janis/
carotte-1kg,8.5,MAD,1,2026-09-04 02:21:26.618652,aswak,https://aswakassalam.com/produit/carotte-1kg/
courgette-1kg,16.95,MAD,1,2026-09-04 02:21:28.948193,aswak,https://aswakassalam.com/produit/courgette-ronde-1kg/
citron-1kg,19.95,MAD,1,2026-09-04 02:21:31.323909,aswak,https://aswakassalam.com/produit/citron-1kg/
banane-import-1kg,19.95,MAD,1,2026-09-04 02:21:33.666778,aswak,https://aswakassalam.com/produit/banane-import-1kg/
ananas-piece,32.0,MAD,1,2026-09-04 02:21:35.986283,aswak,https://aswakassalam.com/produit/ananas-la-piece-1kg-a-1200kg/
fraise-250g,12.95,MAD,1,2026-09-04 02:21:38.323324,aswak,https://aswakassalam.com/produit/fraise-barquette-250/
lentilles-1kg,12.95,MAD,1,2026-09-04 02:21:40.649866,aswak,https://aswakassalam.com/produit/lentilles-1kg-janis-2/
mais-340g,12.5,MAD,1,2026-09-04 02:21:42.986757,aswak,https://aswakassalam.com/produit/boite-de-mais-340g-janis/
