date,product_id,produit,categorie,prix,source_url
2026-09-07,pain-de-mie-ble-complet-470g-pain-dor,PAIN DE MIE BLE COMPLET 470G PAIN D’OR,boulangerie,16.95,https://aswakassalam.com/produit/pain-de-mie-ble-complet-470g-pain-dor/
2026-09-07,pain-de-mie-complet-780g-bimbo,PAIN DE MIE COMPLET 780G BIMBO,boulangerie,31.5,https://aswakassalam.com/produit/pain-de-mie-complet-780g-bimbo/
2026-09-07,pain-de-mie-multigraines-440g-bimbo,PAIN DE MIE MULTIGRAINES 440G  BIMBO,boulangerie,21.95,https://aswakassalam.com/produit/pain-de-mie-multigraines-440g-bimbo/
2026-09-07,pain-de-mie-nature-400g-bimbo,PAIN DE MIE NATURE 400G BIMBO,boulangerie,19.95,https://aswakassalam.com/produit/pain-de-mie-nature-400g-bimbo/
2026-09-07,pain-de-mie-nature-470g-pain-dor,PAIN DE MIE NATURE 470G PAIN D’OR,boulangerie,15.95,https://aswakassalam.com/produit/pain-de-mie-nature-470g-pain-dor/
2026-09-07,pain-de-mie-nature-550g-maxi-jac-jacquet,PAIN DE MIE NATURE 550G MAXI JAC’ JACQUET,boulangerie,34.9,https://aswakassalam.com/produit/pain-de-mie-nature-550g-maxi-jac-jacquet/
2026-09-07,pain-de-mie-nature-720g-bimbo,PAIN DE MIE NATURE 720G BIMBO,boulangerie,30.95,https://aswakassalam.com/produit/pain-de-mie-nature-720g-bimbo/
2026-09-07,pain-hot-dog-4-unites-jacquet,PAIN HOT DOG 4 UNITES JACQUET,boulangerie,31.9,https://aswakassalam.com/produit/pain-hot-dog-4-unites-jacquet/
2026-09-07,ananas-la-piece-1kg-a-1200kg,"ANANAS LA PIECE (1KG A 1,200KG)",fruits-legumes,32.0,https://aswakassalam.com/produit/ananas-la-piece-1kg-a-1200kg/
2026-09-07,avocat-1kg,AVOCAT 1KG,fruits-legumes,62.95,https://aswakassalam.com/produit/avocat-1kg/
2026-09-07,banane-import-1kg,BANANE IMPORT 1KG,fruits-legumes,19.95,https://aswakassalam.com/produit/banane-import-1kg/
2026-09-07,brocoli-1kg,BROCOLI 1KG,fruits-legumes,29.95,https://aswakassalam.com/produit/brocoli-1kg/
2026-09-07,celeri-botte,CELERI BOTTE,fruits-legumes,15.95,https://aswakassalam.com/produit/celeri-botte/
2026-09-07,champignon-de-paris-500g,CHAMPIGNON DE PARIS 500G,fruits-legumes,34.95,https://aswakassalam.com/produit/champignon-de-paris-500g/
2026-09-07,chou-de-bruxelles-500g,CHOU DE BRUXELLES 500G,fruits-legumes,17.95,https://aswakassalam.com/produit/chou-de-bruxelles-500g/
2026-09-07,citron-1kg,CITRON 1KG,fruits-legumes,19.95,https://aswakassalam.com/produit/citron-1kg/
2026-09-07,courgette-ronde-1kg,COURGETTE RONDE 1KG,fruits-legumes,16.95,https://aswakassalam.com/produit/courgette-ronde-1kg/
2026-09-07,couscous-barquette-2kg,COUSCOUS BARQUETTE  +/- 2KG,fruits-legumes,22.95,https://aswakassalam.com/produit/couscous-barquette-2kg/
2026-09-07,fraise-barquette-250,FRAISE BARQUETTE 250,fruits-legumes,12.95,https://aswakassalam.com/produit/fraise-barquette-250/
2026-09-07,framboise-barquette-125g,FRAMBOISE BARQUETTE 125G,fruits-legumes,24.95,https://aswakassalam.com/produit/framboise-barquette-125g/
2026-09-07,haricot-vert-1kg,HARICOT VERT 1KG,fruits-legumes,19.95,https://aswakassalam.com/produit/haricot-vert-1kg/
2026-09-07,kiwi-1kg,KIWI 1KG,fruits-legumes,49.95,https://aswakassalam.com/produit/kiwi-1kg/
2026-09-07,laitue-rouge-a-la-piece,LAITUE ROUGE A LA PIECE,fruits-legumes,6.5,https://aswakassalam.com/produit/laitue-rouge-a-la-piece/
2026-09-07,mangue-a-la-piece-450g-a-500g,MANGUE A LA PIECE  (450G A 500G),fruits-legumes,16.95,https://aswakassalam.com/produit/mangue-a-la-piece-450g-a-500g/
2026-09-07,mangue-avion-1kg,MANGUE AVION 1KG,fruits-legumes,31.95,https://aswakassalam.com/produit/mangue-avion-1kg/
2026-09-07,melon-cantaloup-1kg,MELON CANTALOUP 1KG,fruits-legumes,14.95,https://aswakassalam.com/produit/melon-cantaloup-1kg/
2026-09-07,melon-jaune-marhoum-a-la-piece-2kg,MELON JAUNE MARHOUM A LA PIECE 2KG,fruits-legumes,16.0,https://aswakassalam.com/produit/melon-jaune-marhoum-a-la-piece-2kg/
2026-09-07,nectarine-1kg,NECTARINE 1KG,fruits-legumes,15.95,https://aswakassalam.com/produit/nectarine-1kg/
2026-09-07,orange-a-jus-1kg,ORANGE A JUS 1KG,fruits-legumes,8.95,https://aswakassalam.com/produit/orange-a-jus-1kg/
2026-09-07,peche-1kg,PECHE 1KG,fruits-legumes,15.95,https://aswakassalam.com/produit/peche-1kg/
2026-09-07,piment-fort-barquette-500g,PIMENT FORT BARQUETTE 500G,fruits-legumes,7.0,https://aswakassalam.com/produit/piment-fort-barquette-500g/
2026-09-07,poire-william-au-kg,POIRE WILLIAM AU KG,fruits-legumes,32.95,https://aswakassalam.com/produit/poire-william-au-kg/
2026-09-07,poireau-1kg,POIREAU 1KG,fruits-legumes,18.95,https://aswakassalam.com/produit/poireau-1kg/
2026-09-07,poivron-rouge-1kg,POIVRON ROUGE 1KG,fruits-legumes,16.95,https://aswakassalam.com/produit/poivron-rouge-1kg/
2026-09-07,pomme-de-terre-blanche-1kg,POMME DE TERRE BLANCHE 1KG,fruits-legumes,7.95,https://aswakassalam.com/produit/pomme-de-terre-blanche-1kg/
2026-09-07,pomme-rouge-1-kg,POMME ROUGE 1 KG,fruits-legumes,19.95,https://aswakassalam.com/produit/pomme-rouge-1-kg/
2026-09-07,pomme-rouge-import-1kg,POMME ROUGE IMPORT 1KG,fruits-legumes,34.95,https://aswakassalam.com/produit/pomme-rouge-import-1kg/
2026-09-07,potiron-1kg,POTIRON 1KG,fruits-legumes,9.95,https://aswakassalam.com/produit/potiron-1kg/
2026-09-07,prune-noir-1kg,PRUNE NOIR 1KG,fruits-legumes,21.95,https://aswakassalam.com/produit/prune-noir-1kg/
2026-09-07,raisin-blanc-1kg,RAISIN BLANC 1KG,fruits-legumes,14.95,https://aswakassalam.com/produit/raisin-blanc-1kg/
2026-09-07,romarin-botte,ROMARIN BOTTE,fruits-legumes,6.5,https://aswakassalam.com/produit/romarin-botte/
2026-09-07,salade-lolo-rouge-piece,SALADE LOLO ROUGE PIECE,fruits-legumes,6.95,https://aswakassalam.com/produit/salade-lolo-rouge-piece/
2026-09-07,salade-lolo-vert-piece,SALADE LOLO VERT PIECE,fruits-legumes,6.5,https://aswakassalam.com/produit/salade-lolo-vert-piece/
2026-09-07,thym-botte,THYM BOTTE,fruits-legumes,5.95,https://aswakassalam.com/produit/thym-botte/
2026-09-07,brochettes-de-poulet-aux-3-poivrons-1kg,BROCHETTES DE POULET AUX 3 POIVRONS 1KG,boucherie-volaille,86.95,https://aswakassalam.com/produit/brochettes-de-poulet-aux-3-poivrons-1kg/
2026-09-07,burger-de-boeuf-1kg,BURGER DE BOEUF 1KG,boucherie-volaille,144.95,https://aswakassalam.com/produit/burger-de-boeuf-1kg/
2026-09-07,coquelet-a-la-piece,COQUELET A LA PIECE,boucherie-volaille,27.9,https://aswakassalam.com/produit/coquelet-a-la-piece/
2026-09-07,cote-de-veau-1-kg,COTE DE VEAU 1 KG,boucherie-volaille,127.9,https://aswakassalam.com/produit/cote-de-veau-1-kg/
2026-09-07,cuisse-de-poulet-1kg,CUISSE DE POULET 1KG,boucherie-volaille,39.9,https://aswakassalam.com/produit/cuisse-de-poulet-1kg/
2026-09-07,cuisses-de-poulet-farcies-a-la-feta-1kg,CUISSES DE POULET FARCIES A LA FETA 1KG,boucherie-volaille,60.95,https://aswakassalam.com/produit/cuisses-de-poulet-farcies-a-la-feta-1kg/
2026-09-07,entrecote-de-boeuf-1kg,ENTRECOTE DE BOEUF 1KG,boucherie-volaille,149.95,https://aswakassalam.com/produit/entrecote-de-boeuf-1kg/
2026-09-07,faux-filet-new-york-05kg,"FAUX FILET NEW YORK 0,5KG",boucherie-volaille,77.5,https://aswakassalam.com/produit/faux-filet-new-york-05kg/
2026-09-07,filet-de-poulet-1kg,FILET DE POULET 1KG,boucherie-volaille,59.9,https://aswakassalam.com/produit/filet-de-poulet-1kg/
2026-09-07,gigot-d%c2%92agneau-entier-%c2%93calibre-2kg%c2%94,GIGOT DAGNEAU ENTIER CALIBRE +-2KG,boucherie-volaille,345.8,https://aswakassalam.com/produit/gigot-d%c2%92agneau-entier-%c2%93calibre-2kg%c2%94/
2026-09-07,haut-de-cuisse-de-poulet-1kg,HAUT DE CUISSE DE POULET 1KG,boucherie-volaille,33.9,https://aswakassalam.com/produit/haut-de-cuisse-de-poulet-1kg/
2026-09-07,jarret-de-boeuf-avec-os-1kg,JARRET DE BOEUF AVEC OS 1KG,boucherie-volaille,141.9,https://aswakassalam.com/produit/jarret-de-boeuf-avec-os-1kg/
2026-09-07,merguez-de-boeuf-1kg,MERGUEZ DE BOEUF 1KG,boucherie-volaille,111.9,https://aswakassalam.com/produit/merguez-de-boeuf-1kg/
2026-09-07,pied-de-veau,PIED DE VEAU,boucherie-volaille,164.9,https://aswakassalam.com/produit/pied-de-veau/
2026-09-07,pilons-de-poulet-1kg,PILONS DE POULET 1KG,boucherie-volaille,45.9,https://aswakassalam.com/produit/pilons-de-poulet-1kg/
2026-09-07,poulet-entier-1-piece,POULET ENTIER 1 PIECE,boucherie-volaille,52.5,https://aswakassalam.com/produit/poulet-entier-1-piece/
2026-09-07,poulet-fermier-a-la-piece,POULET FERMIER A LA PIECE,boucherie-volaille,139.0,https://aswakassalam.com/produit/poulet-fermier-a-la-piece/
2026-09-07,queue-de-boeuf-1kg,QUEUE DE BOEUF 1KG,boucherie-volaille,104.95,https://aswakassalam.com/produit/queue-de-boeuf-1kg/
2026-09-07,saucisse-de-dinde-1kg,SAUCISSE DE DINDE 1KG,boucherie-volaille,49.95,https://aswakassalam.com/produit/saucisse-de-dinde-1kg/
2026-09-07,saucisse-de-poulet-1kg,SAUCISSE DE POULET 1KG,boucherie-volaille,56.9,https://aswakassalam.com/produit/saucisse-de-poulet-1kg/
2026-09-07,steak-de-boeuf-1kg,STEAK DE BOEUF 1KG,boucherie-volaille,145.9,https://aswakassalam.com/produit/steak-de-boeuf-1kg/
2026-09-07,tagine-de-boeuf-extra-1kg,TAGINE DE BOEUF EXTRA 1KG,boucherie-volaille,125.95,https://aswakassalam.com/produit/tagine-de-boeuf-extra-1kg/
2026-09-07,viande-hachee-de-boeuf-avec-graisse-1kg,VIANDE HACHEE DE BOEUF AVEC GRAISSE 1KG,boucherie-volaille,119.95,https://aswakassalam.com/produit/viande-hachee-de-boeuf-avec-graisse-1kg/
2026-09-07,viande-hachee-de-boeuf-nature-1kg,VIANDE HACHEE DE BOEUF NATURE 1KG,boucherie-volaille,132.9,https://aswakassalam.com/produit/viande-hachee-de-boeuf-nature-1kg/
2026-09-07,wings-de-poulet-marinees-1kg,WINGS DE POULET MARINEES 1KG,boucherie-volaille,36.95,https://aswakassalam.com/produit/wings-de-poulet-marinees-1kg/
2026-09-07,agriche-1kg-ahl-fes,AGRICHE 1KG AHL FES,charcuterie-traiteur,76.95,https://aswakassalam.com/produit/agriche-1kg-ahl-fes/
2026-09-07,agriche-250g-ahl-fes,AGRICHE 250G AHL FES,charcuterie-traiteur,25.5,https://aswakassalam.com/produit/agriche-250g-ahl-fes/
2026-09-07,anchois-marines-a-loriental-200g-la-monegasque,ANCHOIS MARINES A L’ORIENTAL 200G LA MONEGASQUE,charcuterie-traiteur,39.95,https://aswakassalam.com/produit/anchois-marines-a-loriental-200g-la-monegasque/
2026-09-07,batonnets-de-surimi-saveur-crabe-200g-saint-malo,BATONNETS DE SURIMI SAVEUR CRABE 200G SAINT-MALO,charcuterie-traiteur,23.95,https://aswakassalam.com/produit/batonnets-de-surimi-saveur-crabe-200g-saint-malo/
2026-09-07,caviar-noir-100g-skandia,CAVIAR NOIR 100G SKANDIA,charcuterie-traiteur,59.5,https://aswakassalam.com/produit/caviar-noir-100g-skandia/
2026-09-07,caviar-noir-50g-skandia,CAVIAR NOIR 50G SKANDIA,charcuterie-traiteur,37.5,https://aswakassalam.com/produit/caviar-noir-50g-skandia/
2026-09-07,caviar-rouge-100g-skandia,CAVIAR ROUGE 100G SKANDIA,charcuterie-traiteur,59.5,https://aswakassalam.com/produit/caviar-rouge-100g-skandia/
2026-09-07,caviar-rouge-50g-skandia,CAVIAR ROUGE 50G SKANDIA,charcuterie-traiteur,37.5,https://aswakassalam.com/produit/caviar-rouge-50g-skandia/
2026-09-07,cuisse-de-dinde-au-poivre-80g-dindy,CUISSE DE DINDE AU POIVRE 80G DINDY,charcuterie-traiteur,10.5,https://aswakassalam.com/produit/cuisse-de-dinde-au-poivre-80g-dindy/
